Tweet,Sarcasm (yes/no)
"Oh great, another writers. Just what I needed.",yes
the conference are truly inspiring.,no
"the conference are so wonderful, said no one ever.",yes
the concert have always been great.,no
"Everyone loves engineers, right?",yes
"Everyone loves the workshop, right?",yes
Nothing better than a this book moment.,yes
"doctors are so wonderful, said no one ever.",yes
I am always excited for this movie.,no
I just love when this book happens.,yes
"Had a my new phone, best experience ever. Not.",yes
"Oh great, another artists. Just what I needed.",yes
Can't wait for more of the meal.,yes
I find my new phone to be wonderful.,no
musicians have always been great.,no
I find musicians to be wonderful.,no
I find athletes to be wonderful.,no
Can't wait for more of the meal.,yes
the concert are genuinely amazing.,no
Can't wait for more of the game.,no
I am always excited for the meal.,no
artists are genuinely amazing.,no
Can't wait for more of my new phone.,yes
"Everyone loves the concert, right?",yes
vegetarians are genuinely amazing.,no
Because the conference really make everything better.,yes
I am always excited for my new phone.,no
"Everyone loves musicians, right?",yes
"Oh great, another artists. Just what I needed.",yes
"musicians are so wonderful, said no one ever.",yes
my new phone are genuinely amazing.,no
the game are genuinely amazing.,no
Can't wait for more of doctors.,no
my new phone are genuinely amazing.,no
I am always excited for artists.,no
"Had a the game, best experience ever. Not.",yes
I genuinely love artists.,no
I am always excited for the game.,no
Had a great time with artists.,no
Can't wait for more of athletes.,no
I just love when the game happens.,yes
I am always excited for the meal.,no
"Everyone loves musicians, right?",yes
Can't wait for more of vegetarians.,yes
"Had a my new phone, best experience ever. Not.",yes
"Had a the workshop, best experience ever. Not.",yes
I am always excited for doctors.,no
I just love when my new phone happens.,yes
I genuinely love artists.,no
Can't wait for more of my new phone.,yes
Can't wait for more of the concert.,yes
artists are truly inspiring.,no
I am always excited for musicians.,no
the concert have always been great.,no
Had a great time with artists.,no
writers are genuinely amazing.,no
musicians have always been great.,no
I find musicians to be wonderful.,no
musicians are truly inspiring.,no
"this book are so wonderful, said no one ever.",yes
this movie have always been great.,no
"Oh great, another my new phone. Just what I needed.",yes
I am always excited for athletes.,no
"Oh great, another this movie. Just what I needed.",yes
I am always excited for athletes.,no
I genuinely love this movie.,no
this movie are truly inspiring.,no
artists are genuinely amazing.,no
Nothing better than a engineers moment.,yes
Nothing better than a the meal moment.,yes
writers are genuinely amazing.,no
I genuinely love artists.,no
I just love when vegetarians happens.,yes
"Had a the game, best experience ever. Not.",yes
"Oh great, another engineers. Just what I needed.",yes
"Had a vegetarians, best experience ever. Not.",yes
"Had a engineers, best experience ever. Not.",yes
the meal are genuinely amazing.,no
"Had a engineers, best experience ever. Not.",yes
"Oh great, another artists. Just what I needed.",yes
engineers are truly inspiring.,no
I find writers to be wonderful.,no
engineers are truly inspiring.,no
I am always excited for the conference.,no
I genuinely love the meal.,no
I just love when writers happens.,yes
Can't wait for more of athletes.,no
"Oh great, another the workshop. Just what I needed.",yes
I just love when the meal happens.,yes
I genuinely love the concert.,no
I genuinely love the concert.,no
"Had a the meal, best experience ever. Not.",yes
I genuinely love athletes.,no
doctors are truly inspiring.,no
"Had a my new phone, best experience ever. Not.",yes
I find musicians to be wonderful.,no
artists are genuinely amazing.,no
the concert are truly inspiring.,no
"artists are so wonderful, said no one ever.",yes
"Everyone loves athletes, right?",yes
doctors are truly inspiring.,no
vegetarians are truly inspiring.,no
"engineers are so wonderful, said no one ever.",yes
the workshop are genuinely amazing.,no
scientists have always been great.,no
Because vegetarians really make everything better.,yes
the workshop are truly inspiring.,no
I find artists to be wonderful.,no
Had a great time with musicians.,no
I am always excited for writers.,no
artists have always been great.,no
Can't wait for more of musicians.,yes
"Oh great, another scientists. Just what I needed.",yes
the game are genuinely amazing.,no
"the concert are so wonderful, said no one ever.",yes
I just love when scientists happens.,yes
Can't wait for more of athletes.,yes
Can't wait for more of artists.,no
"the conference are so wonderful, said no one ever.",yes
Nothing better than a my new phone moment.,yes
Can't wait for more of the workshop.,no
the conference have always been great.,no
Had a great time with vegetarians.,no
"vegetarians are so wonderful, said no one ever.",yes
I just love when the game happens.,yes
"Everyone loves the meal, right?",yes
"Had a the concert, best experience ever. Not.",yes
I find athletes to be wonderful.,no
"this movie are so wonderful, said no one ever.",yes
I am always excited for the workshop.,no
scientists are truly inspiring.,no
I am always excited for the concert.,no
"Had a engineers, best experience ever. Not.",yes
I genuinely love the workshop.,no
Nothing better than a the concert moment.,yes
"Everyone loves the game, right?",yes
Nothing better than a this book moment.,yes
Nothing better than a the conference moment.,yes
Can't wait for more of the conference.,yes
"Everyone loves the game, right?",yes
Had a great time with vegetarians.,no
"Oh great, another engineers. Just what I needed.",yes
"the conference are so wonderful, said no one ever.",yes
Had a great time with this book.,no
Nothing better than a the concert moment.,yes
I genuinely love artists.,no
"Everyone loves writers, right?",yes
I find this book to be wonderful.,no
Had a great time with the conference.,no
my new phone have always been great.,no
Can't wait for more of the concert.,no
I just love when musicians happens.,yes
scientists have always been great.,no
Can't wait for more of artists.,no
the conference are genuinely amazing.,no
I am always excited for the concert.,no
I find engineers to be wonderful.,no
Can't wait for more of the conference.,no
I genuinely love the game.,no
"Oh great, another athletes. Just what I needed.",yes
I am always excited for this book.,no
Can't wait for more of writers.,yes
I just love when doctors happens.,yes
I genuinely love vegetarians.,no
"athletes are so wonderful, said no one ever.",yes
"Had a doctors, best experience ever. Not.",yes
musicians are truly inspiring.,no
"Everyone loves athletes, right?",yes
"Had a doctors, best experience ever. Not.",yes
"Oh great, another vegetarians. Just what I needed.",yes
engineers are truly inspiring.,no
Can't wait for more of artists.,yes
"artists are so wonderful, said no one ever.",yes
"Everyone loves this movie, right?",yes
I genuinely love the concert.,no
Because artists really make everything better.,yes
I find scientists to be wonderful.,no
Can't wait for more of engineers.,no
I just love when the conference happens.,yes
"Everyone loves athletes, right?",yes
"Oh great, another engineers. Just what I needed.",yes
"Had a artists, best experience ever. Not.",yes
my new phone are genuinely amazing.,no
Can't wait for more of the meal.,no
Had a great time with the game.,no
Because musicians really make everything better.,yes
"Had a this book, best experience ever. Not.",yes
"Oh great, another artists. Just what I needed.",yes
this movie are truly inspiring.,no
this movie have always been great.,no
I just love when the meal happens.,yes
Because the game really make everything better.,yes
Because my new phone really make everything better.,yes
"Oh great, another this book. Just what I needed.",yes
Nothing better than a the concert moment.,yes
"Had a the conference, best experience ever. Not.",yes
I am always excited for this book.,no
"doctors are so wonderful, said no one ever.",yes
I genuinely love doctors.,no
I am always excited for vegetarians.,no
"Oh great, another the workshop. Just what I needed.",yes
"Had a the workshop, best experience ever. Not.",yes
"vegetarians are so wonderful, said no one ever.",yes
"Oh great, another engineers. Just what I needed.",yes
Had a great time with doctors.,no
I genuinely love musicians.,no
I find the conference to be wonderful.,no
Can't wait for more of doctors.,no
Because the workshop really make everything better.,yes
the concert are genuinely amazing.,no
Can't wait for more of artists.,no
I genuinely love the game.,no
I find artists to be wonderful.,no
Because this book really make everything better.,yes
"Had a writers, best experience ever. Not.",yes
"Everyone loves the concert, right?",yes
I find musicians to be wonderful.,no
"vegetarians are so wonderful, said no one ever.",yes
Because the concert really make everything better.,yes
Had a great time with the meal.,no
"Everyone loves engineers, right?",yes
the meal are truly inspiring.,no
Can't wait for more of the concert.,no
vegetarians are genuinely amazing.,no
the meal are truly inspiring.,no
I am always excited for this book.,no
I am always excited for the conference.,no
"Oh great, another the game. Just what I needed.",yes
athletes are truly inspiring.,no
doctors have always been great.,no
"my new phone are so wonderful, said no one ever.",yes
artists are truly inspiring.,no
Can't wait for more of the game.,yes
"Had a musicians, best experience ever. Not.",yes
I am always excited for the conference.,no
"Had a doctors, best experience ever. Not.",yes
I am always excited for engineers.,no
Can't wait for more of musicians.,no
Had a great time with the meal.,no
"Oh great, another scientists. Just what I needed.",yes
artists are genuinely amazing.,no
Can't wait for more of the workshop.,no
"doctors are so wonderful, said no one ever.",yes
Nothing better than a vegetarians moment.,yes
"scientists are so wonderful, said no one ever.",yes
Had a great time with athletes.,no
Because my new phone really make everything better.,yes
"Had a vegetarians, best experience ever. Not.",yes
Can't wait for more of engineers.,no
Nothing better than a the meal moment.,yes
Can't wait for more of the concert.,yes
Nothing better than a this movie moment.,yes
"Had a doctors, best experience ever. Not.",yes
I genuinely love athletes.,no
I just love when artists happens.,yes
this book are genuinely amazing.,no
"Had a scientists, best experience ever. Not.",yes
"Everyone loves the game, right?",yes
"Oh great, another this book. Just what I needed.",yes
I just love when the conference happens.,yes
I just love when vegetarians happens.,yes
I find the workshop to be wonderful.,no
musicians have always been great.,no
I just love when engineers happens.,yes
I find writers to be wonderful.,no
Had a great time with musicians.,no
Nothing better than a vegetarians moment.,yes
the game have always been great.,no
Can't wait for more of engineers.,no
"Oh great, another the concert. Just what I needed.",yes
Had a great time with athletes.,no
"Had a the conference, best experience ever. Not.",yes
I genuinely love the concert.,no
I genuinely love my new phone.,no
artists have always been great.,no
"Everyone loves doctors, right?",yes
the conference have always been great.,no
the workshop are truly inspiring.,no
Nothing better than a this movie moment.,yes
Nothing better than a scientists moment.,yes
"artists are so wonderful, said no one ever.",yes
Can't wait for more of athletes.,no
this movie have always been great.,no
I find this book to be wonderful.,no
I am always excited for the meal.,no
"engineers are so wonderful, said no one ever.",yes
"athletes are so wonderful, said no one ever.",yes
I find vegetarians to be wonderful.,no
I just love when vegetarians happens.,yes
I find this movie to be wonderful.,no
I find the workshop to be wonderful.,no
Nothing better than a athletes moment.,yes
I genuinely love the meal.,no
Because engineers really make everything better.,yes
Nothing better than a this movie moment.,yes
"vegetarians are so wonderful, said no one ever.",yes
the concert are genuinely amazing.,no
"Had a my new phone, best experience ever. Not.",yes
"Oh great, another the concert. Just what I needed.",yes
I genuinely love scientists.,no
I just love when the game happens.,yes
Because the conference really make everything better.,yes
I genuinely love vegetarians.,no
I find vegetarians to be wonderful.,no
this book are genuinely amazing.,no
I genuinely love engineers.,no
"Everyone loves musicians, right?",yes
I find the meal to be wonderful.,no
I am always excited for the game.,no
"Everyone loves scientists, right?",yes
Had a great time with scientists.,no
Can't wait for more of the game.,yes
"Everyone loves athletes, right?",yes
"Had a this book, best experience ever. Not.",yes
scientists are genuinely amazing.,no
"athletes are so wonderful, said no one ever.",yes
I find engineers to be wonderful.,no
"Everyone loves writers, right?",yes
Nothing better than a the game moment.,yes
I find doctors to be wonderful.,no
Can't wait for more of vegetarians.,yes
"Everyone loves this movie, right?",yes
"Everyone loves musicians, right?",yes
I genuinely love the conference.,no
I genuinely love the concert.,no
Because this movie really make everything better.,yes
"the game are so wonderful, said no one ever.",yes
I am always excited for this book.,no
the game have always been great.,no
Had a great time with this movie.,no
"Everyone loves doctors, right?",yes
I am always excited for this book.,no
Had a great time with the conference.,no
my new phone are genuinely amazing.,no
the meal are genuinely amazing.,no
"Oh great, another athletes. Just what I needed.",yes
Can't wait for more of doctors.,yes
"Oh great, another musicians. Just what I needed.",yes
I genuinely love this book.,no
"Everyone loves athletes, right?",yes
Can't wait for more of scientists.,yes
"Had a the meal, best experience ever. Not.",yes
I find vegetarians to be wonderful.,no
Can't wait for more of musicians.,no
Can't wait for more of the game.,no
I genuinely love my new phone.,no
"Had a scientists, best experience ever. Not.",yes
Nothing better than a my new phone moment.,yes
I genuinely love my new phone.,no
I just love when the workshop happens.,yes
Can't wait for more of the concert.,no
Because the game really make everything better.,yes
I find athletes to be wonderful.,no
Nothing better than a this book moment.,yes
Had a great time with the concert.,no
Because scientists really make everything better.,yes
I just love when artists happens.,yes
I find athletes to be wonderful.,no
I am always excited for this book.,no
Because my new phone really make everything better.,yes
vegetarians are truly inspiring.,no
I genuinely love engineers.,no
I am always excited for vegetarians.,no
"Had a artists, best experience ever. Not.",yes
"Everyone loves doctors, right?",yes
Because scientists really make everything better.,yes
Nothing better than a scientists moment.,yes
"Oh great, another the game. Just what I needed.",yes
Can't wait for more of engineers.,yes
Can't wait for more of engineers.,yes
the game are genuinely amazing.,no
"Oh great, another writers. Just what I needed.",yes
I just love when engineers happens.,yes
the meal are truly inspiring.,no
Had a great time with the meal.,no
Had a great time with the workshop.,no
Had a great time with the meal.,no
my new phone have always been great.,no
"artists are so wonderful, said no one ever.",yes
"Everyone loves writers, right?",yes
"Had a the concert, best experience ever. Not.",yes
"this movie are so wonderful, said no one ever.",yes
Nothing better than a engineers moment.,yes
Nothing better than a musicians moment.,yes
Had a great time with the conference.,no
Had a great time with scientists.,no
"Oh great, another my new phone. Just what I needed.",yes
this movie are genuinely amazing.,no
I find the workshop to be wonderful.,no
"the meal are so wonderful, said no one ever.",yes
artists are genuinely amazing.,no
the concert are genuinely amazing.,no
"the workshop are so wonderful, said no one ever.",yes
Had a great time with the game.,no
Nothing better than a athletes moment.,yes
"Oh great, another artists. Just what I needed.",yes
I find doctors to be wonderful.,no
"vegetarians are so wonderful, said no one ever.",yes
I find doctors to be wonderful.,no
"Had a vegetarians, best experience ever. Not.",yes
Nothing better than a musicians moment.,yes
Had a great time with the workshop.,no
Because doctors really make everything better.,yes
I just love when artists happens.,yes
I just love when my new phone happens.,yes
Can't wait for more of the workshop.,no
Can't wait for more of the meal.,no
"Oh great, another the conference. Just what I needed.",yes
I find the meal to be wonderful.,no
engineers are truly inspiring.,no
Nothing better than a the conference moment.,yes
writers are truly inspiring.,no
I just love when athletes happens.,yes
"Had a musicians, best experience ever. Not.",yes
Can't wait for more of the concert.,no
Nothing better than a the concert moment.,yes
"Everyone loves the concert, right?",yes
Can't wait for more of doctors.,no
"Oh great, another vegetarians. Just what I needed.",yes
Because vegetarians really make everything better.,yes
Nothing better than a the conference moment.,yes
I just love when this movie happens.,yes
the game are truly inspiring.,no
I find this book to be wonderful.,no
"Had a the workshop, best experience ever. Not.",yes
Can't wait for more of artists.,yes
I just love when scientists happens.,yes
I genuinely love this movie.,no
my new phone have always been great.,no
Because vegetarians really make everything better.,yes
"engineers are so wonderful, said no one ever.",yes
"the concert are so wonderful, said no one ever.",yes
the concert have always been great.,no
artists are genuinely amazing.,no
I find the concert to be wonderful.,no
I am always excited for this book.,no
the game have always been great.,no
I am always excited for musicians.,no
I genuinely love writers.,no
the meal have always been great.,no
"Oh great, another artists. Just what I needed.",yes
I am always excited for the conference.,no
Can't wait for more of athletes.,no
Had a great time with the concert.,no
artists are genuinely amazing.,no
Can't wait for more of vegetarians.,yes
I just love when vegetarians happens.,yes
I genuinely love vegetarians.,no
my new phone are truly inspiring.,no
I genuinely love vegetarians.,no
"Oh great, another artists. Just what I needed.",yes
my new phone have always been great.,no
Nothing better than a this book moment.,yes
Can't wait for more of musicians.,yes
the meal are truly inspiring.,no
"engineers are so wonderful, said no one ever.",yes
doctors have always been great.,no
Nothing better than a the conference moment.,yes
Can't wait for more of the meal.,no
scientists have always been great.,no
Had a great time with engineers.,no
"Everyone loves this book, right?",yes
I just love when doctors happens.,yes
musicians are truly inspiring.,no
I am always excited for scientists.,no
"Everyone loves writers, right?",yes
vegetarians are truly inspiring.,no
I just love when scientists happens.,yes
I just love when musicians happens.,yes
I find the conference to be wonderful.,no
vegetarians are genuinely amazing.,no
"Everyone loves writers, right?",yes
Nothing better than a doctors moment.,yes
vegetarians are truly inspiring.,no
the game are truly inspiring.,no
I genuinely love engineers.,no
"the workshop are so wonderful, said no one ever.",yes
"Everyone loves doctors, right?",yes
Can't wait for more of athletes.,no
Had a great time with the workshop.,no
vegetarians are genuinely amazing.,no
musicians have always been great.,no
"Everyone loves this book, right?",yes
Can't wait for more of this book.,no
Nothing better than a scientists moment.,yes
the meal are genuinely amazing.,no
Can't wait for more of this book.,no
I am always excited for vegetarians.,no
"Oh great, another artists. Just what I needed.",yes
I find the conference to be wonderful.,no
Can't wait for more of this movie.,yes
Can't wait for more of my new phone.,no
I genuinely love the workshop.,no
athletes are truly inspiring.,no
"writers are so wonderful, said no one ever.",yes
Can't wait for more of this movie.,no
"Had a the concert, best experience ever. Not.",yes
Can't wait for more of the workshop.,no
I find the meal to be wonderful.,no
"doctors are so wonderful, said no one ever.",yes
the meal have always been great.,no
Had a great time with athletes.,no
I am always excited for artists.,no
"Had a vegetarians, best experience ever. Not.",yes
Can't wait for more of scientists.,yes
I find artists to be wonderful.,no
"Everyone loves musicians, right?",yes
musicians are genuinely amazing.,no
"athletes are so wonderful, said no one ever.",yes
"Had a my new phone, best experience ever. Not.",yes
Because the workshop really make everything better.,yes
"Everyone loves my new phone, right?",yes
Because doctors really make everything better.,yes
"the game are so wonderful, said no one ever.",yes
I am always excited for vegetarians.,no
"Oh great, another musicians. Just what I needed.",yes
Because vegetarians really make everything better.,yes
Can't wait for more of scientists.,no
I genuinely love musicians.,no
I genuinely love vegetarians.,no
the workshop have always been great.,no
"Oh great, another artists. Just what I needed.",yes
scientists are genuinely amazing.,no
"Had a the workshop, best experience ever. Not.",yes
I just love when athletes happens.,yes
athletes have always been great.,no
I genuinely love this book.,no
"Oh great, another artists. Just what I needed.",yes
Can't wait for more of the conference.,no
Nothing better than a athletes moment.,yes
"Oh great, another the conference. Just what I needed.",yes
Nothing better than a writers moment.,yes
"Oh great, another the meal. Just what I needed.",yes
Had a great time with musicians.,no
Can't wait for more of my new phone.,yes
I find musicians to be wonderful.,no
doctors are truly inspiring.,no
I find artists to be wonderful.,no
Nothing better than a the workshop moment.,yes
"Oh great, another scientists. Just what I needed.",yes
Can't wait for more of the concert.,no
Can't wait for more of the meal.,yes
"Had a vegetarians, best experience ever. Not.",yes
"Oh great, another my new phone. Just what I needed.",yes
vegetarians have always been great.,no
artists have always been great.,no
"Had a the game, best experience ever. Not.",yes
I find my new phone to be wonderful.,no
artists are genuinely amazing.,no
I just love when doctors happens.,yes
vegetarians are truly inspiring.,no
Can't wait for more of this movie.,yes
Can't wait for more of the conference.,yes
Nothing better than a the meal moment.,yes
I just love when the meal happens.,yes
Had a great time with the meal.,no
I find the meal to be wonderful.,no
vegetarians are genuinely amazing.,no
"Everyone loves the game, right?",yes
Because writers really make everything better.,yes
artists are genuinely amazing.,no
Because the workshop really make everything better.,yes
vegetarians have always been great.,no
I find the conference to be wonderful.,no
I find this book to be wonderful.,no
Because musicians really make everything better.,yes
"Everyone loves scientists, right?",yes
"Everyone loves writers, right?",yes
the game have always been great.,no
my new phone are truly inspiring.,no
Can't wait for more of the conference.,no
"Oh great, another the concert. Just what I needed.",yes
I am always excited for engineers.,no
"Oh great, another musicians. Just what I needed.",yes
the meal are genuinely amazing.,no
Because artists really make everything better.,yes
Can't wait for more of musicians.,no
"Oh great, another scientists. Just what I needed.",yes
Because the concert really make everything better.,yes
"Oh great, another scientists. Just what I needed.",yes
"Oh great, another athletes. Just what I needed.",yes
I find the workshop to be wonderful.,no
Nothing better than a my new phone moment.,yes
I find engineers to be wonderful.,no
Nothing better than a musicians moment.,yes
"Everyone loves the workshop, right?",yes
"the workshop are so wonderful, said no one ever.",yes
"Oh great, another athletes. Just what I needed.",yes
I just love when engineers happens.,yes
I genuinely love scientists.,no
Because the concert really make everything better.,yes
I just love when vegetarians happens.,yes
I am always excited for athletes.,no
I find my new phone to be wonderful.,no
I am always excited for engineers.,no
Can't wait for more of engineers.,no
this movie are truly inspiring.,no
I just love when the workshop happens.,yes
Because artists really make everything better.,yes
I just love when the meal happens.,yes
"musicians are so wonderful, said no one ever.",yes
I genuinely love the meal.,no
I genuinely love this movie.,no
I just love when artists happens.,yes
engineers are truly inspiring.,no
engineers are truly inspiring.,no
Because the conference really make everything better.,yes
"Had a scientists, best experience ever. Not.",yes
the conference are truly inspiring.,no
Nothing better than a my new phone moment.,yes
I just love when the game happens.,yes
doctors have always been great.,no
Can't wait for more of my new phone.,yes
"writers are so wonderful, said no one ever.",yes
I find the meal to be wonderful.,no
Because vegetarians really make everything better.,yes
I am always excited for the conference.,no
Nothing better than a athletes moment.,yes
"Had a athletes, best experience ever. Not.",yes
the concert are truly inspiring.,no
I genuinely love the conference.,no
"Had a artists, best experience ever. Not.",yes
I genuinely love the meal.,no
I am always excited for the concert.,no
I genuinely love musicians.,no
my new phone are genuinely amazing.,no
artists are genuinely amazing.,no
I find vegetarians to be wonderful.,no
I genuinely love writers.,no
I genuinely love the meal.,no
I genuinely love writers.,no
I just love when musicians happens.,yes
I am always excited for the meal.,no
Nothing better than a artists moment.,yes
"this book are so wonderful, said no one ever.",yes
musicians are truly inspiring.,no
the concert have always been great.,no
athletes have always been great.,no
I genuinely love this book.,no
Because writers really make everything better.,yes
"the concert are so wonderful, said no one ever.",yes
my new phone have always been great.,no
I just love when artists happens.,yes
Can't wait for more of engineers.,yes
artists have always been great.,no
"Everyone loves the concert, right?",yes
I am always excited for musicians.,no
I just love when this book happens.,yes
Because my new phone really make everything better.,yes
I am always excited for athletes.,no
"this book are so wonderful, said no one ever.",yes
I just love when vegetarians happens.,yes
I find the conference to be wonderful.,no
the workshop are truly inspiring.,no
I just love when engineers happens.,yes
Because athletes really make everything better.,yes
"Had a this book, best experience ever. Not.",yes
"Everyone loves the workshop, right?",yes
vegetarians have always been great.,no
the workshop are genuinely amazing.,no
I am always excited for the concert.,no
Because this movie really make everything better.,yes
I am always excited for the game.,no
"Everyone loves the game, right?",yes
"this movie are so wonderful, said no one ever.",yes
I just love when vegetarians happens.,yes
I am always excited for vegetarians.,no
I find the workshop to be wonderful.,no
I am always excited for the concert.,no
Can't wait for more of scientists.,no
I am always excited for scientists.,no
"Oh great, another the meal. Just what I needed.",yes
I find this movie to be wonderful.,no
writers have always been great.,no
I genuinely love doctors.,no
I find athletes to be wonderful.,no
Had a great time with this book.,no
vegetarians are genuinely amazing.,no
Can't wait for more of writers.,yes
Nothing better than a doctors moment.,yes
Can't wait for more of the workshop.,yes
"scientists are so wonderful, said no one ever.",yes
I genuinely love doctors.,no
"Oh great, another the workshop. Just what I needed.",yes
Nothing better than a this book moment.,yes
Can't wait for more of doctors.,no
my new phone are truly inspiring.,no
Can't wait for more of the workshop.,yes
I just love when this movie happens.,yes
Because the workshop really make everything better.,yes
I am always excited for vegetarians.,no
Can't wait for more of doctors.,no
Had a great time with athletes.,no
artists are truly inspiring.,no
I just love when artists happens.,yes
Because vegetarians really make everything better.,yes
I genuinely love my new phone.,no
I genuinely love engineers.,no
artists are genuinely amazing.,no
"Everyone loves the concert, right?",yes
engineers are genuinely amazing.,no
I am always excited for musicians.,no
"Had a the game, best experience ever. Not.",yes
Had a great time with artists.,no
I just love when the conference happens.,yes
I genuinely love the game.,no
the game are truly inspiring.,no
I am always excited for scientists.,no
"Everyone loves the game, right?",yes
I genuinely love vegetarians.,no
doctors have always been great.,no
Can't wait for more of scientists.,no
the conference are truly inspiring.,no
artists are truly inspiring.,no
I am always excited for doctors.,no
"Oh great, another writers. Just what I needed.",yes
I just love when the workshop happens.,yes
Had a great time with the conference.,no
"Had a the conference, best experience ever. Not.",yes
Can't wait for more of the concert.,yes
"doctors are so wonderful, said no one ever.",yes
"Oh great, another doctors. Just what I needed.",yes
"Everyone loves the concert, right?",yes
I genuinely love the game.,no
I just love when the game happens.,yes
"Everyone loves the game, right?",yes
athletes have always been great.,no
musicians have always been great.,no
"Had a my new phone, best experience ever. Not.",yes
Can't wait for more of musicians.,no
Nothing better than a the meal moment.,yes
"Everyone loves scientists, right?",yes
artists are genuinely amazing.,no
Can't wait for more of scientists.,yes
"Had a artists, best experience ever. Not.",yes
Can't wait for more of athletes.,yes
doctors have always been great.,no
the conference have always been great.,no
Can't wait for more of this book.,yes
"Had a artists, best experience ever. Not.",yes
Because artists really make everything better.,yes
Can't wait for more of my new phone.,yes
I find scientists to be wonderful.,no
"Oh great, another my new phone. Just what I needed.",yes
I just love when artists happens.,yes
Can't wait for more of my new phone.,yes
Because musicians really make everything better.,yes
I just love when musicians happens.,yes
"athletes are so wonderful, said no one ever.",yes
Nothing better than a writers moment.,yes
I just love when this movie happens.,yes
scientists are truly inspiring.,no
Because the conference really make everything better.,yes
"Everyone loves engineers, right?",yes
"Oh great, another the game. Just what I needed.",yes
Because doctors really make everything better.,yes
artists have always been great.,no
Had a great time with scientists.,no
Had a great time with artists.,no
"Everyone loves engineers, right?",yes
doctors have always been great.,no
I just love when engineers happens.,yes
the concert are truly inspiring.,no
Can't wait for more of my new phone.,no
this book are genuinely amazing.,no
Can't wait for more of engineers.,yes
"Had a the meal, best experience ever. Not.",yes
I genuinely love the game.,no
Can't wait for more of the conference.,yes
I am always excited for the concert.,no
"Oh great, another the conference. Just what I needed.",yes
I just love when doctors happens.,yes
"Oh great, another scientists. Just what I needed.",yes
writers are truly inspiring.,no
I just love when the game happens.,yes
Can't wait for more of writers.,yes
Can't wait for more of artists.,yes
I genuinely love the meal.,no
Nothing better than a the conference moment.,yes
Nothing better than a doctors moment.,yes
I am always excited for vegetarians.,no
Nothing better than a the meal moment.,yes
Had a great time with scientists.,no
I find athletes to be wonderful.,no
Nothing better than a the game moment.,yes
Had a great time with doctors.,no
"Had a doctors, best experience ever. Not.",yes
this book are truly inspiring.,no
"Oh great, another the meal. Just what I needed.",yes
"scientists are so wonderful, said no one ever.",yes
Had a great time with my new phone.,no
Nothing better than a writers moment.,yes
Can't wait for more of doctors.,yes
"Everyone loves the game, right?",yes
I am always excited for the game.,no
I am always excited for the meal.,no
Nothing better than a artists moment.,yes
I am always excited for the conference.,no
Because this movie really make everything better.,yes
"this movie are so wonderful, said no one ever.",yes
"Oh great, another engineers. Just what I needed.",yes
Can't wait for more of scientists.,no
the concert have always been great.,no
"Oh great, another the meal. Just what I needed.",yes
Can't wait for more of musicians.,no
the workshop are genuinely amazing.,no
this movie are truly inspiring.,no
my new phone have always been great.,no
Can't wait for more of the workshop.,yes
I genuinely love artists.,no
Because the concert really make everything better.,yes
Had a great time with the game.,no
I am always excited for the conference.,no
"the meal are so wonderful, said no one ever.",yes
"Everyone loves my new phone, right?",yes
athletes are truly inspiring.,no
"Oh great, another my new phone. Just what I needed.",yes
Can't wait for more of this movie.,no
artists are truly inspiring.,no
Can't wait for more of scientists.,no
the conference are truly inspiring.,no
Nothing better than a artists moment.,yes
"Everyone loves doctors, right?",yes
I just love when the meal happens.,yes
musicians are truly inspiring.,no
Had a great time with artists.,no
"Oh great, another writers. Just what I needed.",yes
musicians are genuinely amazing.,no
Can't wait for more of the concert.,yes
Can't wait for more of this movie.,no
Can't wait for more of writers.,no
I genuinely love musicians.,no
"Had a the game, best experience ever. Not.",yes
I just love when athletes happens.,yes
Nothing better than a my new phone moment.,yes
Nothing better than a the conference moment.,yes
"Had a the concert, best experience ever. Not.",yes
engineers are genuinely amazing.,no
this book are genuinely amazing.,no
I genuinely love my new phone.,no
"Everyone loves this movie, right?",yes
Can't wait for more of musicians.,no
Can't wait for more of this movie.,no
Can't wait for more of scientists.,yes
I am always excited for artists.,no
"Everyone loves the game, right?",yes
this book are truly inspiring.,no
Can't wait for more of the game.,yes
Nothing better than a my new phone moment.,yes
I find the meal to be wonderful.,no
engineers are truly inspiring.,no
I just love when this movie happens.,yes
scientists have always been great.,no
Can't wait for more of this movie.,yes
Can't wait for more of this book.,yes
"Everyone loves artists, right?",yes
artists are genuinely amazing.,no
I genuinely love the workshop.,no
"scientists are so wonderful, said no one ever.",yes
I am always excited for athletes.,no
the meal are genuinely amazing.,no
Had a great time with the meal.,no
athletes are genuinely amazing.,no
Nothing better than a athletes moment.,yes
I am always excited for this movie.,no
I just love when the workshop happens.,yes
I am always excited for my new phone.,no
Can't wait for more of writers.,yes
Nothing better than a athletes moment.,yes
"Had a the game, best experience ever. Not.",yes
I genuinely love artists.,no
scientists have always been great.,no
Because vegetarians really make everything better.,yes
Can't wait for more of the conference.,yes
"Oh great, another the game. Just what I needed.",yes
"Had a writers, best experience ever. Not.",yes
I am always excited for musicians.,no
athletes are genuinely amazing.,no
engineers are truly inspiring.,no
athletes are genuinely amazing.,no
Can't wait for more of the conference.,no
scientists are truly inspiring.,no
I am always excited for athletes.,no
Because the conference really make everything better.,yes
I genuinely love my new phone.,no
my new phone are genuinely amazing.,no
